Episode,Success,Collision,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
231,5,10,8.599137931,6.400862069,8.395973154,6.604026846
232,6,9,8.587982833,6.412017167,8.348993289,6.651006711
233,9,6,8.58974359,6.41025641,8.355704698,6.644295302
234,7,8,8.582978723,6.417021277,8.342281879,6.657718121
235,11,4,8.593220339,6.406779661,8.382550336,6.617449664
236,9,6,8.594936709,6.405063291,8.362416107,6.637583893
237,7,8,8.588235294,6.411764706,8.322147651,6.677852349
238,7,8,8.581589958,6.418410042,8.308724832,6.691275168
239,9,6,8.583333333,6.416666667,8.308724832,6.691275168
240,6,9,8.572614108,6.427385892,8.288590604,6.711409396
241,9,6,8.574380165,6.425619835,8.302013423,6.697986577
242,5,10,8.559670782,6.440329218,8.261744966,6.738255034
243,11,4,8.569672131,6.430327869,8.288590604,6.711409396
244,6,9,8.559183673,6.440816327,8.281879195,6.718120805
245,7,8,8.552845528,6.447154472,8.241610738,6.758389262
246,9,6,8.55465587,6.44534413,8.268456376,6.731543624
247,5,10,8.540322581,6.459677419,8.255033557,6.744966443
248,7,8,8.534136546,6.465863454,8.241610738,6.758389262
249,9,6,8.536,6.464,8.22147651,6.77852349
250,7,8,8.529880478,6.470119522,8.234899329,6.765100671
251,11,4,8.53968254,6.46031746,8.248322148,6.751677852
252,9,6,8.541501976,6.458498024,8.248322148,6.751677852
253,9,6,8.543307087,6.456692913,8.275167785,6.724832215
254,7,8,8.537254902,6.462745098,8.281879195,6.718120805
255,11,4,8.546875,6.453125,8.268456376,6.731543624
256,9,6,8.548638132,6.451361868,8.281879195,6.718120805
257,7,8,8.542635659,6.457364341,8.281879195,6.718120805
258,11,4,8.552123552,6.447876448,8.275167785,6.724832215
259,7,8,8.546153846,6.453846154,8.261744966,6.738255034
260,9,6,8.54789272,6.45210728,8.234899329,6.765100671
261,7,8,8.541984733,6.458015267,8.248322148,6.751677852
262,9,6,8.543726236,6.456273764,8.261744966,6.738255034
263,12,3,8.556818182,6.443181818,8.295302013,6.704697987
264,11,4,8.566037736,6.433962264,8.295302013,6.704697987
265,13,2,8.582706767,6.417293233,8.322147651,6.677852349
266,9,6,8.584269663,6.415730337,8.32885906,6.67114094
267,7,8,8.578358209,6.421641791,8.315436242,6.684563758
268,9,6,8.579925651,6.420074349,8.322147651,6.677852349
269,11,4,8.588888889,6.411111111,8.33557047,6.66442953
270,7,8,8.58302583,6.41697417,8.33557047,6.66442953
271,7,8,8.577205882,6.422794118,8.308724832,6.691275168
272,9,6,8.578754579,6.421245421,8.308724832,6.691275168
273,5,10,8.565693431,6.434306569,8.295302013,6.704697987
274,9,6,8.567272727,6.432727273,8.295302013,6.704697987
275,8,7,8.565217391,6.434782609,8.288590604,6.711409396
276,9,6,8.566787004,6.433212996,8.302013423,6.697986577
277,13,2,8.582733813,6.417266187,8.32885906,6.67114094
278,9,6,8.584229391,6.415770609,8.342281879,6.657718121
279,5,10,8.571428571,6.428571429,8.302013423,6.697986577
280,11,4,8.580071174,6.419928826,8.32885906,6.67114094
281,9,6,8.581560284,6.418439716,8.33557047,6.66442953
282,13,2,8.597173145,6.402826855,8.362416107,6.637583893
283,7,8,8.591549296,6.408450704,8.33557047,6.66442953
284,11,4,8.6,6.4,8.362416107,6.637583893
285,6,9,8.590909091,6.409090909,8.32885906,6.67114094
286,9,6,8.592334495,6.407665505,8.342281879,6.657718121
287,5,10,8.579861111,6.420138889,8.315436242,6.684563758
288,7,8,8.574394464,6.425605536,8.288590604,6.711409396
289,11,4,8.582758621,6.417241379,8.302013423,6.697986577
290,13,2,8.597938144,6.402061856,8.315436242,6.684563758
291,11,4,8.606164384,6.393835616,8.315436242,6.684563758
292,11,4,8.614334471,6.385665529,8.315436242,6.684563758
293,9,6,8.615646259,6.384353741,8.315436242,6.684563758
294,7,8,8.610169492,6.389830508,8.315436242,6.684563758
295,9,6,8.611486486,6.388513514,8.342281879,6.657718121
296,9,6,8.612794613,6.387205387,8.355704698,6.644295302
297,13,2,8.627516779,6.372483221,8.395973154,6.604026846
298,9,6,8.628762542,6.371237458,8.422818792,6.577181208
299,9,6,8.63,6.37,8.395973154,6.604026846
300,9,6,8.631229236,6.368770764,8.402684564,6.597315436
301,11,4,8.639072848,6.360927152,8.402684564,6.597315436
302,7,8,8.633663366,6.366336634,8.389261745,6.610738255
303,11,4,8.641447368,6.358552632,8.389261745,6.610738255
304,9,6,8.642622951,6.357377049,8.362416107,6.637583893
305,11,4,8.650326797,6.349673203,8.389261745,6.610738255
306,6,9,8.641693811,6.358306189,8.375838926,6.624161074
307,11,4,8.649350649,6.350649351,8.402684564,6.597315436
308,7,8,8.644012945,6.355987055,8.402684564,6.597315436
309,11,4,8.651612903,6.348387097,8.436241611,6.563758389
310,13,2,8.665594855,6.334405145,8.463087248,6.536912752
311,9,6,8.666666667,6.333333333,8.463087248,6.536912752
312,9,6,8.667731629,6.332268371,8.463087248,6.536912752
313,5,10,8.656050955,6.343949045,8.409395973,6.590604027
314,7,8,8.650793651,6.349206349,8.409395973,6.590604027
315,7,8,8.64556962,6.35443038,8.395973154,6.604026846
316,9,6,8.646687697,6.353312303,8.409395973,6.590604027
317,9,6,8.647798742,6.352201258,8.422818792,6.577181208
318,9,6,8.648902821,6.351097179,8.409395973,6.590604027
319,10,5,8.653125,6.346875,8.429530201,6.570469799
320,11,4,8.660436137,6.339563863,8.456375839,6.543624161
321,11,4,8.667701863,6.332298137,8.483221477,6.516778523
322,7,8,8.6625387,6.3374613,8.483221477,6.516778523
323,9,6,8.663580247,6.336419753,8.510067114,6.489932886
324,7,8,8.658461538,6.341538462,8.469798658,6.530201342
325,11,4,8.665644172,6.334355828,8.496644295,6.503355705
326,8,7,8.663608563,6.336391437,8.476510067,6.523489933
327,9,6,8.664634146,6.335365854,8.463087248,6.536912752
328,9,6,8.665653495,6.334346505,8.44966443,6.55033557
329,11,4,8.672727273,6.327272727,8.476510067,6.523489933
330,9,6,8.673716012,6.326283988,8.476510067,6.523489933
331,9,6,8.674698795,6.325301205,8.503355705,6.496644295
332,5,10,8.663663664,6.336336336,8.476510067,6.523489933
333,13,2,8.676646707,6.323353293,8.530201342,6.469798658
334,5,10,8.665671642,6.334328358,8.516778523,6.483221477
335,7,8,8.660714286,6.339285714,8.516778523,6.483221477
336,11,4,8.667655786,6.332344214,8.516778523,6.483221477
337,9,6,8.668639053,6.331360947,8.530201342,6.469798658
338,9,6,8.669616519,6.330383481,8.503355705,6.496644295
339,9,6,8.670588235,6.329411765,8.516778523,6.483221477
340,5,10,8.659824047,6.340175953,8.503355705,6.496644295
341,8,7,8.657894737,6.342105263,8.496644295,6.503355705
342,7,8,8.653061224,6.346938776,8.463087248,6.536912752
343,7,8,8.648255814,6.351744186,8.463087248,6.536912752
344,11,4,8.655072464,6.344927536,8.489932886,6.510067114
345,12,3,8.664739884,6.335260116,8.523489933,6.476510067
346,11,4,8.671469741,6.328530259,8.536912752,6.463087248
347,5,10,8.66091954,6.33908046,8.496644295,6.503355705
348,7,8,8.656160458,6.343839542,8.496644295,6.503355705
349,9,6,8.657142857,6.342857143,8.510067114,6.489932886
350,9,6,8.658119658,6.341880342,8.510067114,6.489932886
351,9,6,8.659090909,6.340909091,8.536912752,6.463087248
352,9,6,8.660056657,6.339943343,8.536912752,6.463087248
353,7,8,8.655367232,6.344632768,8.510067114,6.489932886
354,7,8,8.650704225,6.349295775,8.510067114,6.489932886
355,7,8,8.646067416,6.353932584,8.523489933,6.476510067
356,11,4,8.652661064,6.347338936,8.543624161,6.456375839
357,8,7,8.650837989,6.349162011,8.536912752,6.463087248
358,9,6,8.651810585,6.348189415,8.536912752,6.463087248
359,7,8,8.647222222,6.352777778,8.536912752,6.463087248
360,11,4,8.653739612,6.346260388,8.536912752,6.463087248
361,7,8,8.649171271,6.350828729,8.55033557,6.44966443
362,11,4,8.655647383,6.344352617,8.577181208,6.422818792
363,11,4,8.662087912,6.337912088,8.590604027,6.409395973
364,5,10,8.652054795,6.347945205,8.590604027,6.409395973
365,9,6,8.653005464,6.346994536,8.590604027,6.409395973
366,9,6,8.653950954,6.346049046,8.590604027,6.409395973
367,11,4,8.660326087,6.339673913,8.630872483,6.369127517
368,13,2,8.672086721,6.327913279,8.657718121,6.342281879
369,13,2,8.683783784,6.316216216,8.684563758,6.315436242
370,13,2,8.69541779,6.30458221,8.731543624,6.268456376
371,9,6,8.696236559,6.303763441,8.731543624,6.268456376
372,7,8,8.691689008,6.308310992,8.718120805,6.281879195
373,11,4,8.697860963,6.302139037,8.744966443,6.255033557
374,11,4,8.704,6.296,8.771812081,6.228187919
375,13,2,8.715425532,6.284574468,8.798657718,6.201342282
376,9,6,8.716180371,6.283819629,8.812080537,6.187919463
377,9,6,8.716931217,6.283068783,8.838926174,6.161073826
378,11,4,8.722955145,6.277044855,8.879194631,6.120805369
379,9,6,8.723684211,6.276315789,8.89261745,6.10738255
380,13,2,8.734908136,6.265091864,8.946308725,6.053691275
381,15,0,8.751308901,6.248691099,9.006711409,5.993288591
382,9,6,8.751958225,6.248041775,9.006711409,5.993288591
383,11,4,8.7578125,6.2421875,9.033557047,5.966442953
384,10,5,8.761038961,6.238961039,9.026845638,5.973154362
385,9,6,8.761658031,6.238341969,9.026845638,5.973154362
386,9,6,8.762273902,6.237726098,9.040268456,5.959731544
387,11,4,8.768041237,6.231958763,9.067114094,5.932885906
388,13,2,8.778920308,6.221079692,9.093959732,5.906040268
389,13,2,8.78974359,6.21025641,9.140939597,5.859060403
390,11,4,8.795396419,6.204603581,9.154362416,5.845637584
391,11,4,8.801020408,6.198979592,9.194630872,5.805369128
392,11,4,8.806615776,6.193384224,9.194630872,5.805369128
393,13,2,8.817258883,6.182741117,9.241610738,5.758389262
394,9,6,8.817721519,6.182278481,9.255033557,5.744966443
395,9,6,8.818181818,6.181818182,9.255033557,5.744966443
396,9,6,8.818639798,6.181360202,9.281879195,5.718120805
397,7,8,8.814070352,6.185929648,9.281879195,5.718120805
398,9,6,8.814536341,6.185463659,9.281879195,5.718120805
399,7,8,8.81,6.19,9.281879195,5.718120805
400,9,6,8.810473815,6.189526185,9.268456376,5.731543624
401,5,10,8.800995025,6.199004975,9.241610738,5.758389262
402,11,4,8.806451613,6.193548387,9.255033557,5.744966443
403,12,3,8.814356436,6.185643564,9.288590604,5.711409396
404,9,6,8.814814815,6.185185185,9.275167785,5.724832215
405,9,6,8.815270936,6.184729064,9.275167785,5.724832215
406,9,6,8.815724816,6.184275184,9.288590604,5.711409396
407,11,4,8.821078431,6.178921569,9.288590604,5.711409396
408,9,6,8.821515892,6.178484108,9.302013423,5.697986577
409,11,4,8.826829268,6.173170732,9.315436242,5.684563758
410,11,4,8.832116788,6.167883212,9.342281879,5.657718121
411,7,8,8.827669903,6.172330097,9.32885906,5.67114094
412,7,8,8.823244552,6.176755448,9.295302013,5.704697987
413,9,6,8.823671498,6.176328502,9.281879195,5.718120805
414,11,4,8.828915663,6.171084337,9.268456376,5.731543624
415,15,0,8.84375,6.15625,9.308724832,5.691275168
