Episode,,,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
250,13,2,13.52988,1.470119522,13.39597315,1.604026846
251,7,8,13.50397,1.496031746,13.36912752,1.630872483
252,13,2,13.50198,1.498023715,13.36912752,1.630872483
253,15,0,13.50787,1.492125984,13.36912752,1.630872483
254,11,4,13.49804,1.501960784,13.3557047,1.644295302
255,15,0,13.50391,1.49609375,13.36912752,1.630872483
256,11,4,13.49416,1.505836576,13.3557047,1.644295302
257,15,0,13.5,1.5,13.36912752,1.630872483
258,11,4,13.49035,1.50965251,13.34228188,1.657718121
259,9,6,13.47308,1.526923077,13.34228188,1.657718121
260,11,4,13.4636,1.536398467,13.32214765,1.677852349
261,7,8,13.43893,1.561068702,13.28187919,1.718120805
262,13,2,13.43726,1.562737643,13.28187919,1.718120805
263,10,5,13.42424,1.575757576,13.24832215,1.751677852
264,13,2,13.42264,1.577358491,13.23489933,1.765100671
265,5,10,13.39098,1.609022556,13.16778523,1.832214765
266,13,2,13.38951,1.610486891,13.16107383,1.838926174
267,13,2,13.38806,1.611940299,13.16107383,1.838926174
268,13,2,13.38662,1.6133829,13.14765101,1.852348993
269,12,3,13.38148,1.618518519,13.16107383,1.838926174
270,15,0,13.38745,1.612546125,13.17449664,1.825503356
271,13,2,13.38603,1.613970588,13.16778523,1.832214765
272,15,0,13.39194,1.608058608,13.16778523,1.832214765
273,14,1,13.39416,1.605839416,13.16778523,1.832214765
274,11,4,13.38545,1.614545455,13.1409396,1.859060403
275,13,2,13.38406,1.615942029,13.12751678,1.872483221
276,11,4,13.37545,1.624548736,13.10738255,1.89261745
277,14,1,13.3777,1.622302158,13.10067114,1.899328859
278,9,6,13.36201,1.637992832,13.06040268,1.939597315
279,13,2,13.36071,1.639285714,13.06040268,1.939597315
280,13,2,13.35943,1.640569395,13.0738255,1.926174497
281,13,2,13.35816,1.641843972,13.08724832,1.912751678
282,15,0,13.36396,1.636042403,13.10738255,1.89261745
283,11,4,13.35563,1.644366197,13.08053691,1.919463087
284,13,2,13.35439,1.645614035,13.06711409,1.932885906
285,15,0,13.36014,1.63986014,13.08724832,1.912751678
286,15,0,13.36585,1.634146341,13.08724832,1.912751678
287,14,1,13.36806,1.631944444,13.10067114,1.899328859
288,11,4,13.35986,1.640138408,13.0738255,1.926174497
289,15,0,13.36552,1.634482759,13.10067114,1.899328859
290,13,2,13.36426,1.635738832,13.10067114,1.899328859
291,10,5,13.35274,1.647260274,13.06711409,1.932885906
292,11,4,13.34471,1.655290102,13.04026846,1.959731544
293,11,4,13.33673,1.663265306,13.01342282,1.986577181
294,13,2,13.33559,1.66440678,13.02684564,1.973154362
295,12,3,13.33108,1.668918919,13.00671141,1.993288591
296,11,4,13.32323,1.676767677,13.00671141,1.993288591
297,13,2,13.32215,1.677852349,13.02013423,1.979865772
298,15,0,13.32776,1.672240803,13.06040268,1.939597315
299,15,0,13.33333,1.666666667,13.06040268,1.939597315
300,15,0,13.33887,1.661129568,13.06711409,1.932885906
301,13,2,13.33775,1.662251656,13.0738255,1.926174497
