Episode,Success,Collision,Suc Mean,Col Mean,Log Suc Mean,Log Col Mean,Std Dev,150 rolling Mean Suc,150 rolling Mean Col,Log Suc Roll Mean,Log Col Roll Mean,Total Success,Total Collision
161,4,4,1.814814815,6.185185185,0.595983432,1.822156946,0.416414913,1.92,6.08,0.652325186,1.805004696,294,1002
162,2,6,1.81595092,6.18404908,0.596609254,1.821973248,0.417561762,1.933333333,6.066666667,0.659245629,1.802809305,296,1008
163,2,6,1.817073171,6.182926829,0.597227059,1.821791756,0.418671601,1.933333333,6.066666667,0.659245629,1.802809305,298,1014
164,0,8,1.806060606,6.193939394,0.591148013,1.823571297,0.419647348,1.92,6.08,0.652325186,1.805004696,298,1022
165,4,4,1.819277108,6.180722892,0.598439229,1.821435237,0.420688067,1.946666667,6.053333333,0.666118508,1.800609085,302,1026
166,2,6,1.820359281,6.179640719,0.599033889,1.821260134,0.421695122,1.96,6.04,0.672944473,1.798404012,304,1032
167,4,4,1.833333333,6.166666667,0.606135804,1.819158443,0.422764506,1.986666667,6.013333333,0.686458192,1.793979226,308,1036
168,2,6,1.834319527,6.165680473,0.606673583,1.818998507,0.4237992,1.986666667,6.013333333,0.686458192,1.793979226,310,1042
169,2,6,1.835294118,6.164705882,0.607204751,1.818840428,0.424800282,2,6,0.693147181,1.791759469,312,1048
170,2,6,1.83625731,6.16374269,0.607729429,1.818684173,0.425768788,2,6,0.693147181,1.791759469,314,1054
171,2,6,1.837209302,6.162790698,0.608247737,1.81852971,0.426705714,2,6,0.693147181,1.791759469,316,1060
172,2,6,1.838150289,6.161849711,0.608759788,1.81837701,0.427612016,2,6,0.693147181,1.791759469,318,1066
173,0,8,1.827586207,6.172413793,0.602996084,1.820089976,0.428403426,1.986666667,6.013333333,0.686458192,1.793979226,318,1074
174,4,4,1.84,6.16,0.609765572,1.818076778,0.429252353,2.013333333,5.986666667,0.699791723,1.789534774,322,1078
175,4,4,1.852272727,6.147727273,0.616413386,1.816082464,0.430157267,2.04,5.96,0.712949808,1.785070481,326,1082
176,6,2,1.875706215,6.124293785,0.628985236,1.812263449,0.431202436,2.066666667,5.933333333,0.725937003,1.780586169,332,1084
177,4,4,1.887640449,6.112359551,0.63532761,1.810312877,0.432299406,2.093333333,5.906666667,0.738757692,1.776081657,336,1088
178,2,6,1.888268156,6.111731844,0.63566009,1.810210177,0.433360636,2.093333333,5.906666667,0.738757692,1.776081657,338,1094
179,4,4,1.9,6.1,0.641853886,1.808288771,0.434471624,2.12,5.88,0.751416089,1.771556762,342,1098
